path,description
/.gitignore,Menambahkan file konfigurasi untuk mengabaikan file tertentu dari Git
/.vscode/tasks.json,Menambahkan konfigurasi task untuk VS Code
/app/api/configure/route.js,Menambahkan API route untuk konfigurasi sistem
/app/components/clock.jsx,Menambahkan komponen untuk menampilkan jam dan tanggal real-time dalam format Indonesia
/app/components/CoordinatePicker.js,Menambahkan komponen untuk memilih koordinat di peta
/app/components/dailyforecast.jsx,Menambahkan komponen untuk menampilkan prakiraan cuaca harian
/app/components/hourly-card.jsx,Menambahkan kartu tampilan prakiraan cuaca per jam
/app/components/infopanel.jsx,Menambahkan panel informasi cuaca dan maritim
/app/components/info-row.jsx,Menambahkan baris informasi untuk menampilkan data cuaca
/app/components/nav-item.jsx,Menambahkan komponen untuk membuat item navigasi
/app/components/perairan.jsx,Menambahkan komponen untuk menampilkan informasi perairan
/app/components/petaPage.jsx,Menambahkan halaman peta untuk visualisasi lokasi
/app/components/port-card.jsx,Menambahkan kartu informasi pelabuhan
/app/components/portpage.jsx,Menambahkan halaman utama informasi pelabuhan
/app/components/running-text.jsx,Menambahkan teks berjalan untuk informasi penting
/app/components/side-bar.jsx,Menambahkan sidebar navigasi aplikasi
/app/components/theme.jsx,Menambahkan konfigurasi tema warna dan tampilan aplikasi
/app/components/tides-chart.jsx,Menambahkan grafik pasang surut air laut
/app/components/toast.jsx,Menambahkan notifikasi toast untuk pesan sistem
/app/components/top-bar.jsx,Menambahkan bar navigasi bagian atas
/app/components/wave-color.jsx,Menambahkan komponen untuk pewarnaan gelombang
/app/components/wave-fill.jsx,Menambahkan animasi pengisian gelombang untuk navigasi aktif
/app/components/weather-icon.jsx,Menambahkan ikon animasi cuaca menggunakan Lottie
/app/components/weatherpage.jsx,Menambahkan halaman utama informasi cuaca
/app/components/wind-dir.jsx,Menambahkan indikator arah angin
/app/config-select/page.js,Menambahkan halaman untuk memilih konfigurasi yang tersimpan
/app/configure/components/atoms/Badge.jsx,Menambahkan komponen badge dasar untuk label
